PassengerId,Pclass,Sex,Age,Survived
1,3,male,22.0,0
2,1,female,38.0,1
3,3,female,26.0,1
4,1,female,35.0,1
5,3,male,35.0,0
7,1,male,54.0,0
8,3,male,2.0,0
9,3,female,27.0,1
10,2,female,14.0,1
11,3,female,4.0,1
12,1,female,58.0,1
13,3,male,20.0,0
14,3,male,39.0,0
15,3,female,14.0,0
16,2,female,55.0,1
17,3,male,2.0,0
19,3,female,31.0,0
21,2,male,35.0,0
22,2,male,34.0,1
23,3,female,15.0,1
24,1,male,28.0,1
25,3,female,8.0,0
26,3,female,38.0,1
28,1,male,19.0,0
31,1,male,40.0,0
34,2,male,66.0,0
35,1,male,28.0,0
36,1,male,42.0,0
38,3,male,21.0,0
39,3,female,18.0,0
40,3,female,14.0,1
41,3,female,40.0,0
42,2,female,27.0,0
44,2,female,3.0,1
45,3,female,19.0,1
50,3,female,18.0,0
51,3,male,7.0,0
52,3,male,21.0,0
53,1,female,49.0,1
54,2,female,29.0,1
55,1,male,65.0,0
57,2,female,21.0,1
58,3,male,28.5,0
59,2,female,5.0,1
60,3,male,11.0,0
61,3,male,22.0,0
62,1,female,38.0,1
63,1,male,45.0,0
64,3,male,4.0,0
67,2,female,29.0,1
68,3,male,19.0,0
69,3,female,17.0,1
70,3,male,26.0,0
71,2,male,32.0,0
72,3,female,16.0,0
73,2,male,21.0,0
74,3,male,26.0,0
75,3,male,32.0,1
76,3,male,25.0,0
79,2,male,0.83,1
80,3,female,30.0,1
81,3,male,22.0,0
82,3,male,29.0,1
84,1,male,28.0,0
85,2,female,17.0,1
86,3,female,33.0,1
87,3,male,16.0,0
89,1,female,23.0,1
90,3,male,24.0,0
91,3,male,29.0,0
92,3,male,20.0,0
93,1,male,46.0,0
94,3,male,26.0,0
95,3,male,59.0,0
97,1,male,71.0,0
98,1,male,23.0,1
99,2,female,34.0,1
100,2,male,34.0,0
101,3,female,28.0,0
103,1,male,21.0,0
104,3,male,33.0,0
105,3,male,37.0,0
106,3,male,28.0,0
107,3,female,21.0,1
109,3,male,38.0,0
111,1,male,47.0,0
112,3,female,14.5,0
113,3,male,22.0,0
114,3,female,20.0,0
115,3,female,17.0,0
116,3,male,21.0,0
117,3,male,70.5,0
118,2,male,29.0,0
119,1,male,24.0,0
120,3,female,2.0,0
121,2,male,21.0,0
123,2,male,32.5,0
124,2,female,32.5,1
125,1,male,54.0,0
126,3,male,12.0,1
128,3,male,24.0,1
130,3,male,45.0,0
131,3,male,33.0,0
132,3,male,20.0,0
133,3,female,47.0,0
134,2,female,29.0,1
135,2,male,25.0,0
136,2,male,23.0,0
137,1,female,19.0,1
138,1,male,37.0,0
139,3,male,16.0,0
140,1,male,24.0,0
142,3,female,22.0,1
143,3,female,24.0,1
144,3,male,19.0,0
145,2,male,18.0,0
146,2,male,19.0,0
147,3,male,27.0,1
148,3,female,9.0,0
149,2,male,36.5,0
150,2,male,42.0,0
151,2,male,51.0,0
152,1,female,22.0,1
153,3,male,55.5,0
154,3,male,40.5,0
156,1,male,51.0,0
157,3,female,16.0,1
158,3,male,30.0,0
161,3,male,44.0,0
162,2,female,40.0,1
163,3,male,26.0,0
164,3,male,17.0,0
165,3,male,1.0,0
166,3,male,9.0,1
168,3,female,45.0,0
170,3,male,28.0,0
171,1,male,61.0,0
172,3,male,4.0,0
173,3,female,1.0,1
174,3,male,21.0,0
175,1,male,56.0,0
176,3,male,18.0,0
178,1,female,50.0,0
179,2,male,30.0,0
180,3,male,36.0,0
183,3,male,9.0,0
184,2,male,1.0,1
185,3,female,4.0,1
188,1,male,45.0,1
189,3,male,40.0,0
190,3,male,36.0,0
191,2,female,32.0,1
192,2,male,19.0,0
193,3,female,19.0,1
194,2,male,3.0,1
195,1,female,44.0,1
196,1,female,58.0,1
198,3,male,42.0,0
200,2,female,24.0,0
201,3,male,28.0,0
203,3,male,34.0,0
204,3,male,45.5,0
205,3,male,18.0,1
206,3,female,2.0,0
207,3,male,32.0,0
208,3,male,26.0,1
209,3,female,16.0,1
210,1,male,40.0,1
211,3,male,24.0,0
212,2,female,35.0,1
213,3,male,22.0,0
214,2,male,30.0,0
216,1,female,31.0,1
217,3,female,27.0,1
218,2,male,42.0,0
219,1,female,32.0,1
220,2,male,30.0,0
221,3,male,16.0,1
222,2,male,27.0,0
223,3,male,51.0,0
225,1,male,38.0,1
226,3,male,22.0,0
227,2,male,19.0,1
228,3,male,20.5,0
229,2,male,18.0,0
231,1,female,35.0,1
232,3,male,29.0,0
233,2,male,59.0,0
234,3,female,5.0,1
235,2,male,24.0,0
237,2,male,44.0,0
238,2,female,8.0,1
239,2,male,19.0,0
240,2,male,33.0,0
243,2,male,29.0,0
244,3,male,22.0,0
245,3,male,30.0,0
246,1,male,44.0,0
247,3,female,25.0,0
248,2,female,24.0,1
249,1,male,37.0,1
250,2,male,54.0,0
252,3,female,29.0,0
253,1,male,62.0,0
254,3,male,30.0,0
255,3,female,41.0,0
256,3,female,29.0,1
258,1,female,30.0,1
259,1,female,35.0,1
260,2,female,50.0,1
262,3,male,3.0,1
263,1,male,52.0,0
264,1,male,40.0,0
266,2,male,36.0,0
267,3,male,16.0,0
268,3,male,25.0,1
269,1,female,58.0,1
270,1,female,35.0,1
272,3,male,25.0,1
273,2,female,41.0,1
274,1,male,37.0,0
276,1,female,63.0,1
277,3,female,45.0,0
279,3,male,7.0,0
280,3,female,35.0,1
281,3,male,65.0,0
282,3,male,28.0,0
283,3,male,16.0,0
284,3,male,19.0,1
286,3,male,33.0,0
